folder,file,newspaper_name,date,issue,special_issue,page,size
1,1-1.pdf,,,1,False,1,1716374
1,1-2.pdf,,,1,False,2,597904
1,1-3.pdf,,,1,False,10,662861
1,1-4.pdf,,,1,False,4,1114932
1,1-5.pdf,,,1,False,5,458549
1,1-6.pdf,,,1,False,10,275072
1,1-7.pdf,,,1,False,10,5677805
1,1-8.pdf,,,1,False,10,598360
2,2-1.pdf,,,2,False,1,1766898
2,2-2.pdf,,,2,False,2,615207
2,2-3.pdf,,,2,False,17,1086934
2,2-4.pdf,,,2,False,4,286993
2,2-5.pdf,,,2,False,17,532611
2,2-6.pdf,,,2,False,17,409321
2,2-7.pdf,,,2,False,17,7760950
2,2-8.pdf,,,2,False,17,1708741
3,3-1.pdf,,ста 1942,3,False,1,1615193
3,3-2.pdf,,ста 1942,3,False,2,327488
3,3-3.pdf,,ста 1942,3,False,24,1095945
3,3-4.pdf,,ста 1942,3,False,4,1005988
3,3-5.pdf,,ста 1942,3,False,24,427027
3,3-6.pdf,,ста 1942,3,False,24,1739773
3,3-7.pdf,,ста 1942,3,False,24,5825352
3,3-8.pdf,,ста 1942,3,False,24,642404
3.1,1-1.pdf,,,,False,1,1072058
3.1,1-2.pdf,,,,False,40,785033
3.1,1-3.pdf,,,,False,1993,515280
3.1,1-4.pdf,,,,False,6377,1178130
4,4-1.pdf,,,4,False,1,1723460
4,4-2.pdf,,,4,False,2,663333
4,4-3.pdf,,,4,False,31,333304
4,4-4.pdf,,,4,False,4,254384
4,4-5.pdf,,,4,False,31,223861
4,4-6.pdf,,,4,False,31,454949
4,4-7.pdf,,,4,False,31,304273
4,4-8.pdf,,,4,False,31,665022
5,5-1.pdf,,ня 1928,5,False,1,2998730
5,5-2.pdf,,ня 1928,5,False,2,1347897
5,5-3.pdf,,ня 1928,5,False,7,1052857
5,5-4.pdf,,ня 1928,5,False,4,280545
5,5-5.pdf,,ня 1928,5,False,7,219052
5,5-6.pdf,,ня 1928,5,False,7,347345
5,5-7.pdf,,ня 1928,5,False,7,7227572
5,5-8.pdf,,ня 1928,5,False,7,376475
6,6-1.pdf,,,6,False,1,1542783
6,6-2.pdf,,,6,False,2,466806
6,6-3.pdf,,,6,False,14,1062475
6,6-4.pdf,,,6,False,4,609410
6,6-5.pdf,,,6,False,14,448835
6,6-6.pdf,,,6,False,14,557995
6,6-7.pdf,,,6,False,14,7798546
6,6-8.pdf,,,6,False,14,652457
7,7-1.pdf,,,,False,1,1595459
7,7-2.pdf,,,,False,2,732468
7,7-3.pdf,,,,False,21,727263
7,7-4.pdf,,,,False,4,501231
7,7-5.pdf,,,,False,21,446905
7,7-6.pdf,,,,False,21,572153
7,7-7.pdf,,,,False,21,8278423
7,7-8.pdf,,,,False,21,578201
7.1,1.pdf,,,,True,1,1739851
7.1,2.pdf,,,,True,2,732472
7.1,3.pdf,,,,True,20,373041
7.1,4.pdf,,,,True,4,501228
7.1,5.pdf,,,,True,20,446905
7.1,6.pdf,,,,True,20,1098897
7.1,7.pdf,,,,True,20,430957
7.1,8.pdf,,,,True,20,754375
8,8-1.pdf,,,8,False,1,2009292
8,8-2.pdf,,,8,False,2,663159
8,8-3.pdf,,,8,False,28,561253
8,8-4.pdf,,,8,False,4,877660
8,8-5.pdf,,,8,False,28,991125
8,8-6.pdf,,,8,False,28,1084882
8,8-7.pdf,,,8,False,28,5968981
8,8-8.pdf,,,8,False,28,482762
9,9-1.pdf,,,9,False,1,2626413
9,9-2.pdf,,,9,False,2,531612
9,9-3.pdf,,,9,False,7,403014
9,9-4.pdf,,,9,False,4,888272
9,9-5.pdf,,,9,False,7,1019993
9,9-6.pdf,,,9,False,7,278562
9,9-7.pdf,,,9,False,7,7370976
9,9-8.pdf,,,9,False,7,774172
10,10-1.pdf,,на 2014,10,False,1,1723523
10,10-2.pdf,,на 2014,10,False,2,319007
10,10-3.pdf,,на 2014,10,False,14,714001
10,10-4.pdf,,на 2014,10,False,4,1118817
10,10-5.pdf,,на 2014,10,False,14,405009
10,10-6.pdf,,на 2014,10,False,14,403315
10,10-7.pdf,,на 2014,10,False,14,7843440
10,10-8.pdf,,на 2014,10,False,14,503987
10.2,1.pdf,,на 2014,,True,1,1554154
10.2,2.pdf,,на 2014,,True,2,318866
10.2,3.pdf,,на 2014,,True,14,426171
10.2,4.pdf,,на 2014,,True,4,888306
10.2,5.pdf,,на 2014,,True,14,404791
10.2,6.pdf,,на 2014,,True,14,716419
10.2,7.pdf,,на 2014,,True,14,276604
10.2,8.pdf,,на 2014,,True,14,422003
10.3,1-1.pdf,,в 2011,,True,1,1239342
10.3,1-2.pdf,,в 2011,,True,2,219430
10.3,1-3.pdf,,в 2011,,True,11,546909
10.3,1-4.pdf,,в 2011,,True,4,2800311
10.3,1-5.pdf,,в 2011,,True,11,2806297
10.3,1-6.pdf,,в 2011,,True,11,394891
10.3,1-7.pdf,,в 2011,,True,11,565701
10.3,1-8.pdf,,в 2011,,True,11,782642
11,11-1.pdf,,,11,False,1,2008689
11,11-2.pdf,,,11,False,2,676543
11,11-3.pdf,,,11,False,21,969316
11,11-4.pdf,,,11,False,4,332509
11,11-5.pdf,,,11,False,21,447218
11,11-6.pdf,,,11,False,21,221025
11,11-7.pdf,,,11,False,21,607207
11,11-8.pdf,,,11,False,21,314394
12,12-1.pdf,,,12,False,1,2111038
12,12-2.pdf,,,12,False,2,441097
12,12-3.pdf,,,12,False,28,2209469
12,12-4.pdf,,,12,False,4,326062
12,12-5.pdf,,,12,False,28,511692
12,12-6.pdf,,,12,False,28,661143
12,12-7.pdf,,,12,False,28,7782192
12,12-8.pdf,,,12,False,28,588621
13,13-1.pdf,,,13,False,1,1987092
13,13-2.pdf,,,13,False,2,637533
13,13-3.pdf,,,13,False,4,280931
13,13-4.pdf,,,13,False,4,515853
13,13-5.pdf,,,13,False,4,589155
13,13-6.pdf,,,13,False,4,764368
13,13-7.pdf,,,13,False,4,6109277
13,13-8.pdf,,,13,False,4,597971
